kulczynski,confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel
0.230194,0.419716,89,212,2193,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.175735,0.347607,8,23,2193,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Country(X0,X1,T0)&inv_Country(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.287928,0.330072,539,1633,2193,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.122677,0.205721,87,423,2193,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)",Located_in_the_administrative_territorial_entity
0.283518,0.524792,106,202,2507,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.260969,0.500000,55,110,2507,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-inv_Residence(X0,X1,T0)&Residence(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.252539,0.492431,32,65,2507,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-Capital_of(X0,X1,T0)",Located_in_the_administrative_territorial_entity
0.214862,0.419234,26,62,2507,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country(X1,X2,T1)&Country(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.204452,0.395286,34,86,2507,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&inv_Contains_administrative_territorial_entity(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.185527,0.366795,11,30,2507,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Capital_of(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.111515,0.225806,2,9,2507,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.13303,0.223377,107,479,2507,"Located_in_the_administrative_territorial_entity(X0,X3,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X3,T2)",Located_in_the_administrative_territorial_entity
0.203258,0.391941,31,79,2195,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Country(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Country(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.210616,0.367923,117,318,2195,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.156576,0.307122,12,39,2195,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Capital_of(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.143767,0.285124,4,14,2195,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.183575,0.361736,13,36,2157,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-inv_Located_in_the_administrative_territorial_entity(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.139297,0.270854,16,59,2157,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Contains_administrative_territorial_entity(X1,X2,T1)&Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.288913,0.533254,104,195,2337,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Capital_of(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.242564,0.479167,12,25,2337,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Capital_of(X1,X2,T1)&Country(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.232057,0.462222,6,13,2337,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Country(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.233632,0.455838,26,57,2337,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.223931,0.443730,8,18,2337,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.144507,0.254794,80,314,2337,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.192159,0.380165,8,21,2373,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Instance_of(X0,X1,T0)&inv_Instance_of(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.136998,0.273684,3,11,2373,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.314625,0.616995,29,47,2372,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Head_of_government(X0,X1,T0)&inv_Head_of_government(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.233295,0.461024,12,26,2372,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country_of_citizenship(X1,X2,T1)&Country_of_citizenship(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.154914,0.255417,129,505,2372,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.143145,0.228947,136,594,2372,"Located_in_the_administrative_territorial_entity(X0,X3,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X3,T2)",Located_in_the_administrative_territorial_entity
0.193944,0.380690,16,42,2304,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&inv_Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.259133,0.428587,234,546,2609,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Contains_administrative_territorial_entity(X0,X1,T0)&inv_Contains_administrative_territorial_entity(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.200766,0.398844,4,10,2609,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.182584,0.363158,4,11,2609,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Capital_of(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.269054,0.525025,31,59,2442,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.201805,0.395657,19,48,2442,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Country(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.091324,0.184211,2,11,2442,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.166893,0.326923,1,3,2172,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Member_of(X1,X2,T1)&inv_Member_of(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.333744,0.673077,2,3,2466,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity
0.1789,0.352641,12,34,2466,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.0627,0.123188,1,8,2466,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Capital_of(X0,X1,T2)",Located_in_the_administrative_territorial_entity
0.090931,0.119826,153,1277,2466,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&inv_Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity
0.059819,0.102997,41,398,2466,"Located_in_the_administrative_territorial_entity(X0,X3,T3)<-Country(X0,X1,T0)&inv_Country(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X3,T2)",Located_in_the_administrative_territorial_entity
0.65602,0.793354,499,629,962,"Twinned_administrative_body(X0,X1,T1)<-Twinned_administrative_body(X0,X1,T0)",Twinned_administrative_body
0.37813,0.753623,6,8,962,"Twinned_administrative_body(X0,X2,T3)<-Country(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.21895,0.426997,9,21,962,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Capital_of(X1,X2,T1)&inv_Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body
0.209421,0.407725,11,27,962,"Twinned_administrative_body(X0,X2,T3)<-Country(X0,X1,T0)&inv_Country(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.212446,0.374943,48,128,962,"Twinned_administrative_body(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.326195,0.340540,300,881,962,"Twinned_administrative_body(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.170837,0.325786,15,46,962,"Twinned_administrative_body(X0,X2,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.158838,0.311594,5,16,962,"Twinned_administrative_body(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.150675,0.278388,22,79,962,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X2,T1)&inv_Twinned_administrative_body(X2,X1,T2)",Twinned_administrative_body
0.100512,0.197674,1,5,962,"Twinned_administrative_body(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.099904,0.194393,6,31,962,"Twinned_administrative_body(X0,X2,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.083845,0.163462,1,6,962,"Twinned_administrative_body(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.251033,0.507246,2,4,981,"Twinned_administrative_body(X0,X2,T3)<-Instance_of(X0,X1,T0)&inv_Instance_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.219002,0.402528,35,87,981,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body
0.301179,0.492547,132,268,1202,"Twinned_administrative_body(X0,X2,T3)<-Head_of_government(X0,X1,T0)&inv_Head_of_government(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.218738,0.416988,25,60,1202,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Capital_of(X2,X1,T2)",Twinned_administrative_body
0.211286,0.385983,44,114,1202,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Residence(X1,X2,T1)&Residence(X2,X1,T2)",Twinned_administrative_body
0.193738,0.374819,15,40,1202,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body
0.2193,0.427686,12,28,1195,"Twinned_administrative_body(X0,X1,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X1,T2)",Twinned_administrative_body
0.224818,0.391009,70,179,1195,"Twinned_administrative_body(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.196011,0.378378,17,45,1195,"Twinned_administrative_body(X0,X1,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&inv_Twinned_administrative_body(X0,X1,T2)",Twinned_administrative_body
0.147316,0.202580,110,543,1195,"Twinned_administrative_body(X0,X3,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X2,T1)&inv_Twinned_administrative_body(X2,X3,T2)",Twinned_administrative_body
0.198101,0.377049,20,53,1060,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&inv_Twinned_administrative_body(X0,X1,T2)",Twinned_administrative_body
0.195158,0.364632,27,74,1060,"Twinned_administrative_body(X0,X2,T3)<-inv_Residence(X0,X1,T0)&Residence(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.167131,0.326923,1,3,1060,"Twinned_administrative_body(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Country(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.352924,0.699422,7,10,1198,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X2,T1)&inv_Twinned_administrative_body(X2,X1,T2)",Twinned_administrative_body
0.1942,0.372304,19,51,1198,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Country(X1,X2,T1)&inv_Country(X2,X1,T2)",Twinned_administrative_body
0.319298,0.624096,15,24,1103,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Head_of_government(X1,X2,T1)&inv_Head_of_government(X2,X1,T2)",Twinned_administrative_body
0.195903,0.370682,23,62,1103,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Capital_of(X1,X2,T1)&inv_Capital_of(X2,X1,T2)",Twinned_administrative_body
0.145857,0.226470,72,318,1103,"Twinned_administrative_body(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&inv_Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.250995,0.507246,2,4,1018,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X1,T2)",Twinned_administrative_body
0.179562,0.353741,6,17,974,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Country(X2,X1,T2)",Twinned_administrative_body
0.186938,0.311374,61,196,974,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X2,T1)&Twinned_administrative_body(X2,X1,T2)",Twinned_administrative_body
0.072171,0.127053,17,134,974,"Twinned_administrative_body(X0,X2,T2)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X2,T1)",Twinned_administrative_body
0.244626,0.355092,131,369,976,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X1,T2)",Twinned_administrative_body
0.167908,0.335484,3,9,1212,"Twinned_administrative_body(X0,X2,T3)<-Country(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.167073,0.326923,1,3,1212,"Twinned_administrative_body(X0,X2,T3)<-Heritage_designation(X0,X1,T0)&inv_Heritage_designation(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body
0.112759,0.221865,4,18,1212,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Country(X1,X2,T1)&inv_Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body
0.510672,0.784674,131,167,553,"Employer(X0,X1,T1)<-Employer(X0,X1,T0)",Employer
0.259946,0.500000,11,22,553,"Employer(X0,X2,T3)<-Significant_event(X0,X1,T0)&inv_Significant_event(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.258113,0.498392,9,18,553,"Employer(X0,X2,T3)<-Residence(X0,X1,T0)&inv_Residence(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.523418,0.493510,306,620,553,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X0,T1)&Employer(X0,X1,T2)",Employer
0.296372,0.480700,62,129,553,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Educated_at(X1,X2,T1)&Educated_at(X2,X1,T2)",Employer
0.229446,0.443730,8,18,553,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Employer(X0,X1,T2)",Employer
0.171168,0.332046,5,15,553,"Employer(X0,X2,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.126832,0.253623,2,8,553,"Employer(X0,X2,T3)<-Member_of(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.075033,0.122924,15,122,553,"Employer(X0,X3,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X2,T1)&Employer(X2,X3,T2)",Employer
0.377981,0.753623,3,4,505,"Employer(X0,X1,T3)<-Member_of(X0,X1,T0)&inv_Employer(X1,X0,T1)&Member_of(X0,X1,T2)",Employer
0.283102,0.538976,14,26,505,"Employer(X0,X2,T3)<-Educated_at(X0,X1,T0)&inv_Educated_at(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.26239,0.486647,19,39,505,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Member_of(X1,X2,T1)&Member_of(X2,X1,T2)",Employer
0.121602,0.234694,4,17,505,"Employer(X0,X2,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X0,T1)&Employer(X0,X2,T2)",Employer
0.258531,0.498392,9,18,526,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Member_of(X0,X1,T2)",Employer
0.281911,0.542169,13,24,588,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X0,T1)&Member_of(X0,X1,T2)",Employer
0.369412,0.454282,109,240,383,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X2,T1)&Employer(X2,X1,T2)",Employer
0.062353,0.117547,4,34,566,"Employer(X0,X3,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X2,T1)&Educated_at(X2,X3,T2)",Employer
0.308221,0.586826,17,29,563,"Employer(X0,X3,T3)<-Educated_at(X0,X1,T0)&inv_Educated_at(X1,X2,T1)&Employer(X2,X3,T2)",Employer
0.085133,0.169082,2,12,563,"Employer(X0,X3,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X2,T1)&Employer(X2,X3,T2)",Employer
0.160587,0.227444,35,154,373,"Nominated_for(X0,X1,T3)<-Nominated_for(X0,X1,T0)&inv_Nominated_for(X1,X0,T1)&Award_received(X0,X1,T2)",Nominated_for
0.260146,0.214675,114,531,373,"Nominated_for(X0,X1,T1)<-Nominated_for(X0,X1,T0)",Nominated_for
