lift_score,conviction_score,confidence_score,rule_support,body_support,rule,head_rel
0.000021,-17825.872581,0.271901, 419,1541,"Make_statement(X0,X1,T1)<-inv_Host_a_visit(X0,X1,T0)",Make_statement
0.000020,-17575.718182,0.261538,  17,  65,"Make_statement(X0,X1,T3)<-Use_conventional_military_force(X0,X1,T0)&Use_conventional_military_force(X1,X0,T1)&inv_Use_conventional_military_force(X0,X1,T2)",Make_statement
0.000020,-17487.318023,0.257805, 256, 993,"Make_statement(X0,X1,T1)<-Demand(X0,X1,T0)",Make_statement
0.000020,-17450.568599,0.256242, 390,1522,"Make_statement(X0,X1,T1)<-Make_a_visit(X0,X1,T0)",Make_statement
0.000019,-17305.333333,0.250000,  17,  68,"Make_statement(X0,X1,T1)<-Appeal_for_intelligence(X0,X1,T0)",Make_statement
0.000019,-17305.333333,0.250000,   1,   4,"Make_statement(X0,X2,T3)<-Impose_embargo,_boycott,_or_sanctions(X0,X1,T0)&inv_Conduct_strike_or_boycott(X1,X0,T1)&inv_Accuse_of_crime,_corruption(X0,X2,T2)",Make_statement
0.000018,-16929.123074,0.233333,   7,  30,"Make_statement(X0,X1,T1)<-Accede_to_demands_for_change_in_leadership(X0,X1,T0)",Make_statement
0.000018,-16905.066440,0.232242, 461,1985,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.000018,-16839.551343,0.229255, 163, 711,"Make_statement(X0,X1,T1)<-Reject(X0,X1,T0)",Make_statement
0.000018,-16837.628903,0.229167,  11,  48,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&Make_statement(X1,X0,T1)&Make_statement(X0,X2,T2)",Make_statement
0.000017,-16791.013399,0.227027, 126, 555,"Make_statement(X0,X1,T1)<-Threaten(X0,X1,T0)",Make_statement
0.000017,-16749.647043,0.225118,  95, 422,"Make_statement(X0,X1,T1)<-Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)",Make_statement
0.000017,-16637.503926,0.219895,  42, 191,"Make_statement(X0,X2,T3)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X0,T1)&Accuse(X0,X2,T2)",Make_statement
0.000017,-16573.174671,0.216867,  18,  83,"Make_statement(X0,X1,T1)<-Provide_economic_aid(X0,X1,T0)",Make_statement
0.000017,-16518.733280,0.214286,   3,  14,"Make_statement(X0,X2,T2)<-Reduce_relations(X0,X1,T0)&Conduct_strike_or_boycott(X1,X2,T1)",Make_statement
0.000016,-16504.155604,0.213592,  22, 103,"Make_statement(X0,X1,T3)<-Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0)&Make_statement(X1,X2,T1)&inv_Make_statement(X2,X1,T2)",Make_statement
0.000016,-16471.982781,0.212056, 197, 929,"Make_statement(X0,X1,T1)<-Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)",Make_statement
0.000016,-16360.853956,0.206704,  37, 179,"Make_statement(X0,X1,T1)<-Deny_responsibility(X0,X1,T0)",Make_statement
0.000016,-16331.908061,0.205298, 279,1359,"Make_statement(X0,X1,T1)<-Criticize_or_denounce(X0,X1,T0)",Make_statement
0.000015,-16223.750000,0.200000,   1,   5,"Make_statement(X0,X1,T3)<-inv_Make_statement(X0,X1,T0)&Reject(X1,X0,T1)&inv_Make_statement(X0,X1,T2)",Make_statement
0.000015,-16159.857962,0.196837, 112, 569,"Make_statement(X0,X1,T3)<-inv_Meet_at_a_'third'_location(X0,X1,T0)&inv_Consult(X1,X2,T1)&inv_Consult(X2,X1,T2)",Make_statement
0.000015,-16128.310721,0.195266,  33, 169,"Make_statement(X0,X1,T3)<-Cooperate_economically(X0,X1,T0)&inv_Host_a_visit(X1,X2,T1)&inv_Make_a_visit(X2,X1,T2)",Make_statement
0.000014,-15922.183838,0.184848, 244,1320,"Make_statement(X0,X1,T1)<-Accuse(X0,X1,T0)",Make_statement
0.000014,-15919.000632,0.184685,  41, 222,"Make_statement(X0,X1,T3)<-Consult(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.000014,-15904.584746,0.183946, 110, 598,"Make_statement(X0,X1,T1)<-inv_Make_optimistic_comment(X0,X1,T0)",Make_statement
0.000013,-15717.185123,0.174216, 250,1435,"Make_statement(X0,X1,T1)<-Praise_or_endorse(X0,X1,T0)",Make_statement
0.000013,-15604.992540,0.168279,  87, 517,"Make_statement(X0,X1,T1)<-Demonstrate_or_rally(X0,X1,T0)",Make_statement
0.000012,-15465.256495,0.160764, 286,1779,"Make_statement(X0,X1,T1)<-inv_Consult(X0,X1,T0)",Make_statement
0.000012,-15460.282595,0.160494,  13,  81,"Make_statement(X0,X1,T1)<-inv_Express_intent_to_provide_material_aid(X0,X1,T0)",Make_statement
0.000012,-15456.121715,0.160268, 263,1641,"Make_statement(X0,X1,T1)<-Make_an_appeal_or_request(X0,X1,T0)",Make_statement
0.000012,-15405.670388,0.157518,  66, 419,"Make_statement(X0,X1,T3)<-inv_Engage_in_negotiation(X0,X1,T0)&inv_Engage_in_negotiation(X1,X0,T1)&inv_Engage_in_negotiation(X0,X1,T2)",Make_statement
0.000012,-15362.144901,0.155131,  65, 419,"Make_statement(X0,X1,T3)<-Praise_or_endorse(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X1,T2)",Make_statement
0.000012,-15327.747368,0.153235, 270,1762,"Make_statement(X0,X1,T1)<-Consult(X0,X1,T0)",Make_statement
0.000011,-15168.124384,0.144324, 267,1850,"Make_statement(X0,X1,T1)<-inv_Make_statement(X0,X1,T0)",Make_statement
0.000011,-15080.637665,0.139360,  74, 531,"Make_statement(X0,X3,T3)<-Make_optimistic_comment(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_a_visit(X2,X3,T2)",Make_statement
0.000011,-15073.964514,0.138979, 128, 921,"Make_statement(X0,X2,T2)<-Demand(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.000010,-15025.242732,0.136187,  35, 257,"Make_statement(X0,X2,T2)<-Make_empathetic_comment(X0,X1,T0)&Bring_lawsuit_against(X1,X2,T1)",Make_statement
0.000010,-15006.966405,0.135135,  45, 333,"Make_statement(X0,X3,T3)<-Criticize_or_denounce(X0,X1,T0)&Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)&Make_statement(X2,X3,T2)",Make_statement
0.000010,-14989.825074,0.134146,  22, 164,"Make_statement(X0,X3,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Expel_or_deport_individuals(X2,X3,T2)",Make_statement
0.000010,-14983.716363,0.133793, 194,1450,"Make_statement(X0,X1,T1)<-inv_Praise_or_endorse(X0,X1,T0)",Make_statement
0.000010,-14925.853731,0.130435,   3,  23,"Make_statement(X0,X1,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Praise_or_endorse(X2,X1,T2)",Make_statement
0.000010,-14916.984836,0.129918, 175,1347,"Make_statement(X0,X2,T2)<-inv_Express_intent_to_meet_or_negotiate(X0,X1,T0)&Make_a_visit(X1,X2,T1)",Make_statement
0.000010,-14913.762396,0.129730,  24, 185,"Make_statement(X0,X2,T2)<-Make_optimistic_comment(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)",Make_statement
0.000010,-14902.221038,0.129056, 179,1387,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.000010,-14901.810399,0.129032,  16, 124,"Make_statement(X0,X1,T3)<-Accuse(X0,X1,T0)&Accuse(X1,X2,T1)&inv_Criticize_or_denounce(X2,X1,T2)",Make_statement
0.000010,-14809.785709,0.123620,  56, 453,"Make_statement(X0,X1,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Engage_in_negotiation(X1,X2,T1)&inv_Engage_in_negotiation(X2,X1,T2)",Make_statement
0.000009,-14772.398753,0.121402,  97, 799,"Make_statement(X0,X1,T3)<-Sign_formal_agreement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)&Make_statement(X2,X1,T2)",Make_statement
0.000009,-14712.650454,0.117834,  37, 314,"Make_statement(X0,X1,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Use_unconventional_violence(X1,X2,T1)&Use_unconventional_violence(X2,X1,T2)",Make_statement
0.000008,-14585.260111,0.110129, 137,1244,"Make_statement(X0,X1,T1)<-inv_Use_unconventional_violence(X0,X1,T0)",Make_statement
0.000008,-14561.369458,0.108669,  89, 819,"Make_statement(X0,X2,T2)<-inv_Criticize_or_denounce(X0,X1,T0)&Demand(X1,X2,T1)",Make_statement
0.000008,-14496.670982,0.104691, 154,1471,"Make_statement(X0,X2,T2)<-inv_Host_a_visit(X0,X1,T0)&inv_Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)",Make_statement
0.000008,-14453.229399,0.102000, 102,1000,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)",Make_statement
0.000008,-14402.899445,0.098862, 165,1669,"Make_statement(X0,X1,T1)<-inv_Make_an_appeal_or_request(X0,X1,T0)",Make_statement
0.000008,-14402.659704,0.098847,  60, 607,"Make_statement(X0,X2,T3)<-inv_Make_statement(X0,X1,T0)&Make_statement(X1,X0,T1)&inv_Make_statement(X0,X2,T2)",Make_statement
0.000007,-14366.073089,0.096552,  14, 145,"Make_statement(X0,X1,T3)<-Praise_or_endorse(X0,X1,T0)&inv_Express_intent_to_meet_or_negotiate(X1,X2,T1)&Make_a_visit(X2,X1,T2)",Make_statement
0.000007,-14359.969552,0.096168, 133,1383,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000007,-14356.443310,0.095946,  71, 740,"Make_statement(X0,X2,T2)<-Praise_or_endorse(X0,X1,T0)&inv_Engage_in_diplomatic_cooperation(X1,X2,T1)",Make_statement
0.000007,-14338.568750,0.094819,  97,1023,"Make_statement(X0,X2,T2)<-Criticize_or_denounce(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)",Make_statement
0.000007,-14312.463610,0.093168,  15, 161,"Make_statement(X0,X3,T3)<-inv_Consult(X0,X1,T0)&Make_statement(X1,X2,T1)&inv_Reduce_relations(X2,X3,T2)",Make_statement
0.000007,-14283.418952,0.091324,  80, 876,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Threaten(X1,X2,T1)",Make_statement
0.000007,-14276.898572,0.090909,  31, 341,"Make_statement(X0,X2,T2)<-inv_Make_statement(X0,X1,T0)&Threaten(X1,X2,T1)",Make_statement
0.000007,-14271.576702,0.090570,  97,1071,"Make_statement(X0,X2,T2)<-Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&Express_intent_to_meet_or_negotiate(X1,X2,T1)",Make_statement
0.000007,-14220.725291,0.087318,  42, 481,"Make_statement(X0,X2,T2)<-inv_Criticize_or_denounce(X0,X1,T0)&inv_Make_empathetic_comment(X1,X2,T1)",Make_statement
0.000007,-14206.747083,0.086420,   7,  81,"Make_statement(X0,X3,T3)<-inv_Praise_or_endorse(X0,X1,T0)&inv_fight_with_small_arms_and_light_weapons(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X3,T2)",Make_statement
0.000007,-14189.475802,0.085308,  18, 211,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&fight_with_small_arms_and_light_weapons(X2,X3,T2)",Make_statement
0.000006,-14167.729146,0.083904,  98,1168,"Make_statement(X0,X2,T2)<-Consult(X0,X1,T0)&Praise_or_endorse(X1,X2,T1)",Make_statement
0.000006,-14142.457556,0.082267,  90,1094,"Make_statement(X0,X2,T2)<-Make_optimistic_comment(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.000006,-14124.204636,0.081081,   9, 111,"Make_statement(X0,X1,T1)<-Rally_support_on_behalf_of(X0,X1,T0)",Make_statement
0.000006,-14121.991637,0.080937,  76, 939,"Make_statement(X0,X3,T3)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Express_intent_to_cooperate(X1,X2,T1)&Praise_or_endorse(X2,X3,T2)",Make_statement
0.000006,-14100.772886,0.079554, 100,1257,"Make_statement(X0,X2,T2)<-inv_Criticize_or_denounce(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000006,-14081.695315,0.078307,  74, 945,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Criticize_or_denounce(X1,X2,T1)",Make_statement
0.000006,-14042.129635,0.075710,  24, 317,"Make_statement(X0,X2,T2)<-inv_Appeal_to_others_to_settle_dispute(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)",Make_statement
0.000006,-14031.351351,0.075000,  12, 160,"Make_statement(X0,X2,T3)<-Express_intent_to_cooperate(X0,X1,T0)&inv_Consult(X1,X0,T1)&inv_Express_intent_to_meet_or_negotiate(X0,X2,T2)",Make_statement
0.000006,-14019.135758,0.074194,  92,1240,"Make_statement(X0,X2,T2)<-Criticize_or_denounce(X0,X1,T0)&Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000006,-13986.503816,0.072034,  17, 236,"Make_statement(X0,X1,T3)<-Make_a_visit(X0,X1,T0)&inv_Make_a_visit(X1,X0,T1)&Make_a_visit(X0,X1,T2)",Make_statement
0.000006,-13986.127021,0.072009,  62, 861,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Accuse(X1,X2,T1)",Make_statement
0.000005,-13969.763572,0.070922,  20, 282,"Make_statement(X0,X3,T3)<-inv_Use_unconventional_violence(X0,X1,T0)&fight_with_small_arms_and_light_weapons(X1,X2,T1)&inv_Arrest,_detain,_or_charge_with_legal_action(X2,X3,T2)",Make_statement
0.000005,-13963.195860,0.070485,  16, 227,"Make_statement(X0,X2,T2)<-Criticize_or_denounce(X0,X1,T0)&inv_Ease_administrative_sanctions(X1,X2,T1)",Make_statement
0.000005,-13914.902422,0.067259,  53, 788,"Make_statement(X0,X2,T2)<-inv_Use_unconventional_violence(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)",Make_statement
0.000005,-13907.790034,0.066782,  77,1153,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000005,-13891.044295,0.065657,  13, 198,"Make_statement(X0,X3,T3)<-Make_an_appeal_or_request(X0,X1,T0)&Use_conventional_military_force(X1,X2,T1)&inv_Make_pessimistic_comment(X2,X3,T2)",Make_statement
0.000005,-13824.212343,0.061140,  59, 965,"Make_statement(X0,X2,T2)<-Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0)&inv_Criticize_or_denounce(X1,X2,T1)",Make_statement
0.000005,-13796.409681,0.059248, 115,1941,"Make_statement(X0,X2,T2)<-inv_Make_statement(X0,X1,T0)&Make_statement(X1,X2,T1)",Make_statement
0.000005,-13796.028394,0.059222,  70,1182,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Praise_or_endorse(X1,X2,T1)",Make_statement
0.000005,-13787.777224,0.058659,  21, 358,"Make_statement(X0,X3,T3)<-Praise_or_endorse(X0,X1,T0)&Praise_or_endorse(X1,X2,T1)&inv_Reject(X2,X3,T2)",Make_statement
0.000004,-13730.163516,0.054709,  79,1444,"Make_statement(X0,X2,T2)<-inv_Discuss_by_telephone(X0,X1,T0)&inv_Make_statement(X1,X2,T1)",Make_statement
0.000004,-13663.083252,0.050068,  74,1478,"Make_statement(X0,X1,T1)<-inv_Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0)",Make_statement
0.000004,-13646.677335,0.048926,  41, 838,"Make_statement(X0,X3,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X2,T1)&inv_Praise_or_endorse(X2,X3,T2)",Make_statement
0.000004,-13644.238492,0.048756,  96,1969,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&inv_Make_statement(X1,X2,T1)",Make_statement
0.000004,-13624.673266,0.047390,  59,1245,"Make_statement(X0,X2,T2)<-Accuse(X0,X1,T0)&inv_Criticize_or_denounce(X1,X2,T1)",Make_statement
0.000004,-13610.228802,0.046379,  57,1229,"Make_statement(X0,X2,T2)<-Accuse(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000003,-13595.060151,0.045315,  59,1302,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&Consult(X1,X2,T1)",Make_statement
0.000003,-13500.202311,0.038607,  51,1321,"Make_statement(X0,X2,T2)<-inv_Consult(X0,X1,T0)&inv_Make_statement(X1,X2,T1)",Make_statement
0.000003,-13468.778667,0.036364,  18, 495,"Make_statement(X0,X3,T3)<-Investigate(X0,X1,T0)&inv_Express_intent_to_cooperate(X1,X2,T1)&Make_an_appeal_or_request(X2,X3,T2)",Make_statement
0.000003,-13442.539075,0.034483,   1,  29,"Make_statement(X0,X2,T3)<-inv_Make_statement(X0,X1,T0)&Praise_or_endorse(X1,X0,T1)&inv_Praise_or_endorse(X0,X2,T2)",Make_statement
0.000003,-13438.015742,0.034158,  29, 849,"Make_statement(X0,X3,T3)<-Host_a_visit(X0,X1,T0)&inv_Engage_in_negotiation(X1,X2,T1)&Consult(X2,X3,T2)",Make_statement
0.000003,-13426.797110,0.033351,  63,1889,"Make_statement(X0,X2,T2)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X2,T1)",Make_statement
0.000002,-13384.593332,0.030303,   1,  33,"Make_statement(X0,X3,T3)<-inv_Make_statement(X0,X1,T0)&Engage_in_negotiation(X1,X2,T1)&Express_intent_to_provide_material_aid(X2,X3,T2)",Make_statement
0.000002,-13345.891915,0.027491,   8, 291,"Make_statement(X0,X2,T2)<-Express_intent_to_meet_or_negotiate(X0,X1,T0)&inv_Reduce_or_break_diplomatic_relations(X1,X2,T1)",Make_statement
0.000002,-13316.684485,0.025358,  23, 907,"Make_statement(X0,X2,T2)<-Make_statement(X0,X1,T0)&inv_Make_a_visit(X1,X2,T1)",Make_statement
0.000002,-13295.567461,0.023810,   2,  84,"Make_statement(X0,X2,T3)<-Make_an_appeal_or_request(X0,X1,T0)&inv_Make_an_appeal_or_request(X1,X0,T1)&Arrest,_detain,_or_charge_with_legal_action(X0,X2,T2)",Make_statement
0.000002,-13255.144424,0.020833,   1,  48,"Make_statement(X0,X3,T3)<-Make_statement(X0,X1,T0)&inv_Demand_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1)&Rally_support_on_behalf_of(X2,X3,T2)",Make_statement
0.000001,-13169.870940,0.014493,   3, 207,"Make_statement(X0,X3,T3)<-inv_Accuse(X0,X1,T0)&inv_Arrest,_detain,_or_charge_with_legal_action(X1,X2,T1)&inv_Accuse(X2,X3,T2)",Make_statement
