confidence_score,rule_supp_count,body_supp_count,head_supp_count,rule,head_rel,example
0.183415, 281,1531,4821,"Award_received(X0,X1,T1)<-Nominated_for(X0,X1,T0)",Award_received,"Award_received(Charles_Coburn,Academy_Award_For_Best_Supporting_Actor,T1)<-Nominated_for(Charles_Coburn,Academy_Award_For_Best_Supporting_Actor,T0)"
0.111531,  26, 233,4821,"Award_received(X0,X2,T3)<-Nominated_for(X0,X1,T0)&inv_Award_received(X1,X0,T1)&Nominated_for(X0,X2,T2)",Award_received,"Award_received(Bto_(Band),Group_Of_The_Year,T3)<-Nominated_for(Bto_(Band),Juno_Award_For_Album_Of_The_Year,T0)&inv_Award_received(Juno_Award_For_Album_Of_The_Year,Bto_(Band),T1)&Nominated_for(Bto_(Band),Group_Of_The_Year,T2)"
0.073461,  49, 666,4821,"Award_received(X0,X1,T3)<-Award_received(X0,X1,T0)&inv_Award_received(X1,X2,T1)&Award_received(X2,X1,T2)",Award_received,"Award_received(Jean_De_Dieu_Soult,Marshal_Of_The_Empire,T3)<-Award_received(Jean_De_Dieu_Soult,Marshal_Of_The_Empire,T0)&inv_Award_received(Marshal_Of_The_Empire,André_Massena,T1)&Award_received(André_Massena,Marshal_Of_The_Empire,T2)"
0.065617,  11, 168,4821,"Award_received(X0,X3,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X2,T1)&Award_received(X2,X3,T2)",Award_received,"Award_received(Yury_Vasilyevich_Malyshev,Lenin_Award,T3)<-Member_of_political_party(Yury_Vasilyevich_Malyshev,Communist_Party_Of_The_Soviet_Union/Comments,T0)&inv_Member_of_political_party(Communist_Party_Of_The_Soviet_Union/Comments,Strekalov,T1)&Award_received(Strekalov,Lenin_Award,T2)"
0.047009,   5, 103,4821,"Award_received(X0,X1,T3)<-Nominated_for(X0,X1,T0)&Winner(X1,X2,T1)&inv_Winner(X2,X1,T2)",Award_received,"Award_received(John_Knoll,Bafta_Award_For_Best_Special_Visual_Effects,T3)<-Nominated_for(John_Knoll,Bafta_Award_For_Best_Special_Visual_Effects,T0)&Winner(Bafta_Award_For_Best_Special_Visual_Effects,Richard_Taylor_(Filmmaker),T1)&inv_Winner(Richard_Taylor_(Filmmaker),Bafta_Award_For_Best_Special_Visual_Effects,T2)"
0.022388,   4, 177,4821,"Award_received(X0,X1,T3)<-Nominated_for(X0,X1,T0)&inv_Nominated_for(X1,X2,T1)&Award_received(X2,X1,T2)",Award_received,"Award_received(Adolf_Winkelmann_(Film_Director),German_Film_Award_For_Best_Direction,T3)<-Nominated_for(Adolf_Winkelmann_(Film_Director),German_Film_Award_For_Best_Direction,T0)&inv_Nominated_for(German_Film_Award_For_Best_Direction,Josef_Rusnak,T1)&Award_received(Josef_Rusnak,German_Film_Award_For_Best_Direction,T2)"
0.980107,1933,1972,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Saint-Ouen-Laumône,Seine_And_Oise,T1)<-Located_in_the_administrative_territorial_entity(Saint-Ouen-Laumône,Seine_And_Oise,T0)"
0.908333,  48,  53,80296,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Country(X0,X1,T0)&inv_Country(X1,X0,T1)&Located_in_the_administrative_territorial_entity(X0,X2,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Nottinghamshire_England,East_Midlands_Region,T3)<-Country(Nottinghamshire_England,Royaume-Uni,T0)&inv_Country(Royaume-Uni,Nottinghamshire_England,T1)&Located_in_the_administrative_territorial_entity(Nottinghamshire_England,East_Midlands_Region,T2)"
0.829412,  62,  75,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Contains_administrative_territorial_entity(X1,X2,T1)&Contains_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Propata,Province_Of_Genoa,T3)<-Located_in_the_administrative_territorial_entity(Propata,Province_Of_Genoa,T0)&inv_Contains_administrative_territorial_entity(Province_Of_Genoa,Ligurian_Cuisine,T1)&Contains_administrative_territorial_entity(Ligurian_Cuisine,Province_Of_Genoa,T2)"
0.803904,1180,1468,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Gadancourt,Val_D'Oise,T3)<-Located_in_the_administrative_territorial_entity(Gadancourt,Val_D'Oise,T0)&inv_Located_in_the_administrative_territorial_entity(Val_D'Oise,Vaudherland,T1)&Located_in_the_administrative_territorial_entity(Vaudherland,Val_D'Oise,T2)"
0.777778,   3,   4,80296,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Country(X0,X1,T0)&inv_Country(X1,X0,T1)&Capital_of(X0,X2,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Simferopol,Crimean_Oblast,T3)<-Country(Simferopol,Su_(Country),T0)&inv_Country(Su_(Country),Simferopol,T1)&Capital_of(Simferopol,Crimean_Oblast,T2)"
0.750000,  33,  44,80296,"Located_in_the_administrative_territorial_entity(X0,X3,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X3,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Venissieux,Communauté_Urbaine_De_Lyon,T3)<-Located_in_the_administrative_territorial_entity(Venissieux,Nouveau-Rhone,T0)&Contains_administrative_territorial_entity(Nouveau-Rhone,Neuville-Sur-Saone,T1)&Located_in_the_administrative_territorial_entity(Neuville-Sur-Saone,Communauté_Urbaine_De_Lyon,T2)"
0.711556, 673, 946,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-Capital_of(X0,X1,T0)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Montrevel-En-Bresse,Canton_Of_Montrevel-En-Bresse,T1)<-Capital_of(Montrevel-En-Bresse,Canton_Of_Montrevel-En-Bresse,T0)"
0.687753, 599, 871,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Capital_of(X0,X1,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Yaroslavl’,Âroslavskaâ_Oblast',T3)<-Capital_of(Yaroslavl’,Âroslavskaâ_Oblast',T0)&inv_Located_in_the_administrative_territorial_entity(Âroslavskaâ_Oblast',Yaroslavl’,T1)&Capital_of(Yaroslavl’,Âroslavskaâ_Oblast',T2)"
0.642857, 111, 173,80296,"Located_in_the_administrative_territorial_entity(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Capital_of(X0,X2,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Kiev/Kyiv,Ukrssr,T3)<-Twinned_administrative_body(Kiev/Kyiv,Moskva,T0)&inv_Twinned_administrative_body(Moskva,Kiev/Kyiv,T1)&Capital_of(Kiev/Kyiv,Ukrssr,T2)"
0.624372, 219, 351,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T3)<-inv_Contains_administrative_territorial_entity(X0,X1,T0)&Contains_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Kaindorf_An_Der_Sulm,Bezirk_Leibnitz,T3)<-inv_Contains_administrative_territorial_entity(Kaindorf_An_Der_Sulm,Bezirk_Leibnitz,T0)&Contains_administrative_territorial_entity(Bezirk_Leibnitz,Ehrenhausen,T1)&Located_in_the_administrative_territorial_entity(Ehrenhausen,Bezirk_Leibnitz,T2)"
0.127155,  52, 409,80296,"Located_in_the_administrative_territorial_entity(X0,X3,T3)<-Instance_of(X0,X1,T0)&inv_Instance_of(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X3,T2)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Pirka,Graz-Umgebung_(District),T3)<-Instance_of(Pirka,Municipality_(Austria),T0)&inv_Instance_of(Municipality_(Austria),Tyrnau,T1)&Located_in_the_administrative_territorial_entity(Tyrnau,Graz-Umgebung_(District),T2)"
0.054758,  99,1811,80296,"Located_in_the_administrative_territorial_entity(X0,X1,T1)<-Country(X0,X1,T0)",Located_in_the_administrative_territorial_entity,"Located_in_the_administrative_territorial_entity(Kyiv_Province,Ukrssr,T1)<-Country(Kyiv_Province,Ukrssr,T0)"
1.000000,   1,   1,2873,"Twinned_administrative_body(X0,X2,T3)<-Heritage_designation(X0,X1,T0)&inv_Heritage_designation(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Santa_Fe_De_Guanajuato,Trams_In_Avignon,T3)<-Heritage_designation(Santa_Fe_De_Guanajuato,Unesco_World_Heritage_Sites,T0)&inv_Heritage_designation(Unesco_World_Heritage_Sites,Santa_Fe_De_Guanajuato,T1)&Twinned_administrative_body(Santa_Fe_De_Guanajuato,Trams_In_Avignon,T2)"
0.955769,1362,1425,2873,"Twinned_administrative_body(X0,X1,T1)<-Twinned_administrative_body(X0,X1,T0)",Twinned_administrative_body,"Twinned_administrative_body(Goetheburg,Turku_Finland,T1)<-Twinned_administrative_body(Goetheburg,Turku_Finland,T0)"
0.888889,   7,   8,2873,"Twinned_administrative_body(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Mittau,Pernau,T3)<-Located_in_the_administrative_territorial_entity(Mittau,Latvian_Ssr,T0)&inv_Located_in_the_administrative_territorial_entity(Latvian_Ssr,Mittau,T1)&Twinned_administrative_body(Mittau,Pernau,T2)"
0.882637, 242, 274,2873,"Twinned_administrative_body(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Capital_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(History_Of_Gomel,Retail_In_Aberdeen,T3)<-Capital_of(History_Of_Gomel,Gomel_Oblast,T0)&inv_Capital_of(Gomel_Oblast,History_Of_Gomel,T1)&Twinned_administrative_body(History_Of_Gomel,Retail_In_Aberdeen,T2)"
0.807692, 102, 126,2873,"Twinned_administrative_body(X0,X2,T3)<-inv_Residence(X0,X1,T0)&Residence(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Berlim,Dki_Jakarta,T3)<-inv_Residence(Berlim,Elli_Ackermann,T0)&Residence(Elli_Ackermann,Berlim,T1)&Twinned_administrative_body(Berlim,Dki_Jakarta,T2)"
0.804167,  85, 106,2873,"Twinned_administrative_body(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Kiev/Kyiv,City_Of_Chicago,T3)<-Capital_of(Kiev/Kyiv,Ucrania,T0)&inv_Located_in_the_administrative_territorial_entity(Ucrania,Kiev/Kyiv,T1)&Twinned_administrative_body(Kiev/Kyiv,City_Of_Chicago,T2)"
0.794118,  24,  30,2873,"Twinned_administrative_body(X0,X2,T3)<-Country(X0,X1,T0)&inv_Country(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Un/Locode:Degoe,St_Edward'S_Junior_School,T3)<-Country(Un/Locode:Degoe,History_Of_West_Germany,T0)&inv_Country(History_Of_West_Germany,Un/Locode:Degoe,T1)&Twinned_administrative_body(Un/Locode:Degoe,St_Edward'S_Junior_School,T2)"
0.743781, 132, 177,2873,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Residence(X1,X2,T1)&Residence(X2,X1,T2)",Twinned_administrative_body,"Twinned_administrative_body(Berlim,Madrid_City,T3)<-Twinned_administrative_body(Berlim,Madrid_City,T0)&inv_Residence(Madrid_City,Pedro_Almodovar,T1)&Residence(Pedro_Almodovar,Madrid_City,T2)"
0.714286,   2,   3,2873,"Twinned_administrative_body(X0,X2,T3)<-Instance_of(X0,X1,T0)&inv_Instance_of(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Un/Locode:Degoe,St_Edward'S_Junior_School,T3)<-Instance_of(Un/Locode:Degoe,City_(Kentucky),T0)&inv_Instance_of(City_(Kentucky),Un/Locode:Degoe,T1)&Twinned_administrative_body(Un/Locode:Degoe,St_Edward'S_Junior_School,T2)"
0.714286,   2,   3,2873,"Twinned_administrative_body(X0,X2,T3)<-Capital_of(X0,X1,T0)&inv_Country(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Kiev/Kyiv,President_Of_Kraków,T3)<-Capital_of(Kiev/Kyiv,Ucrania,T0)&inv_Country(Ucrania,Kiev/Kyiv,T1)&Twinned_administrative_body(Kiev/Kyiv,President_Of_Kraków,T2)"
0.703448,  45,  64,2873,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X2,T1)&inv_Twinned_administrative_body(X2,X1,T2)",Twinned_administrative_body,"Twinned_administrative_body(Aalborg_Kommune,Rendsborg,T3)<-Twinned_administrative_body(Aalborg_Kommune,Rendsborg,T0)&Twinned_administrative_body(Rendsborg,Lancaster_(Lancs),T1)&inv_Twinned_administrative_body(Lancaster_(Lancs),Rendsborg,T2)"
0.692308,  16,  23,2873,"Twinned_administrative_body(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Kiev/Kyiv,Un/Locode:Lvrix,T3)<-Twinned_administrative_body(Kiev/Kyiv,President_Of_Kraków,T0)&Twinned_administrative_body(President_Of_Kraków,Kiev/Kyiv,T1)&Twinned_administrative_body(Kiev/Kyiv,Un/Locode:Lvrix,T2)"
0.687500,   5,   7,2873,"Twinned_administrative_body(X0,X2,T3)<-Country(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Mittau,Pernau,T3)<-Country(Mittau,Letland,T0)&inv_Located_in_the_administrative_territorial_entity(Letland,Mittau,T1)&Twinned_administrative_body(Mittau,Pernau,T2)"
0.665441,  80, 120,2873,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&Located_in_the_administrative_territorial_entity(X1,X2,T1)&inv_Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body,"Twinned_administrative_body(Un/Locode:Debfe,Novgorod,T3)<-Twinned_administrative_body(Un/Locode:Debfe,Novgorod,T0)&Located_in_the_administrative_territorial_entity(Novgorod,Oksochi_Hospital,T1)&inv_Located_in_the_administrative_territorial_entity(Oksochi_Hospital,Novgorod,T2)"
0.650866, 563, 865,2873,"Twinned_administrative_body(X0,X2,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Gènova,Одесса,T3)<-Twinned_administrative_body(Gènova,Un/Locode:Frmrs,T0)&inv_Twinned_administrative_body(Un/Locode:Frmrs,Gènova,T1)&Twinned_administrative_body(Gènova,Одесса,T2)"
0.627907,  12,  19,2873,"Twinned_administrative_body(X0,X1,T3)<-Twinned_administrative_body(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X2,T1)&Located_in_the_administrative_territorial_entity(X2,X1,T2)",Twinned_administrative_body,"Twinned_administrative_body(Berlim,Tokyo_Administrative_District,T3)<-Twinned_administrative_body(Berlim,Tokyo_Administrative_District,T0)&inv_Located_in_the_administrative_territorial_entity(Tokyo_Administrative_District,Japan_Women'S_Open_Tennis,T1)&Located_in_the_administrative_territorial_entity(Japan_Women'S_Open_Tennis,Tokyo_Administrative_District,T2)"
0.623377,  21,  34,2873,"Twinned_administrative_body(X0,X2,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X0,T1)&Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Rendsborg,Lancaster_(Lancs),T3)<-inv_Twinned_administrative_body(Rendsborg,Aalborg_Kommune,T0)&Twinned_administrative_body(Aalborg_Kommune,Rendsborg,T1)&Twinned_administrative_body(Rendsborg,Lancaster_(Lancs),T2)"
0.360000,   4,  11,2873,"Twinned_administrative_body(X0,X2,T3)<-Located_in_the_administrative_territorial_entity(X0,X1,T0)&inv_Located_in_the_administrative_territorial_entity(X1,X0,T1)&inv_Twinned_administrative_body(X0,X2,T2)",Twinned_administrative_body,"Twinned_administrative_body(Frankfurt_(Oder),Landsberg-An-Der-Warthe,T3)<-Located_in_the_administrative_territorial_entity(Frankfurt_(Oder),Kur-Brandenburg,T0)&inv_Located_in_the_administrative_territorial_entity(Kur-Brandenburg,Frankfurt_(Oder),T1)&inv_Twinned_administrative_body(Frankfurt_(Oder),Landsberg-An-Der-Warthe,T2)"
0.095578,  59, 618,2873,"Twinned_administrative_body(X0,X3,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X2,T1)&Twinned_administrative_body(X2,X3,T2)",Twinned_administrative_body,"Twinned_administrative_body(Kiev/Kyiv,Cuisine_Of_Florence,T3)<-inv_Twinned_administrative_body(Kiev/Kyiv,President_Of_Kraków,T0)&inv_Twinned_administrative_body(President_Of_Kraków,Fes_Province,T1)&Twinned_administrative_body(Fes_Province,Cuisine_Of_Florence,T2)"
0.036787,  53,1438,2873,"Twinned_administrative_body(X0,X1,T1)<-inv_Twinned_administrative_body(X0,X1,T0)",Twinned_administrative_body,"Twinned_administrative_body(Frankfurt_(Oder),Landsberg-An-Der-Warthe,T1)<-inv_Twinned_administrative_body(Frankfurt_(Oder),Landsberg-An-Der-Warthe,T0)"
0.027197,  23, 843,2873,"Twinned_administrative_body(X0,X1,T3)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X2,T1)&inv_Twinned_administrative_body(X2,X1,T2)",Twinned_administrative_body,"Twinned_administrative_body(Budapest_(Hungary),Berlim,T3)<-inv_Twinned_administrative_body(Budapest_(Hungary),Berlim,T0)&Twinned_administrative_body(Berlim,Dki_Jakarta,T1)&inv_Twinned_administrative_body(Dki_Jakarta,Berlim,T2)"
0.024880,  48,1931,2873,"Twinned_administrative_body(X0,X2,T2)<-Twinned_administrative_body(X0,X1,T0)&inv_Twinned_administrative_body(X1,X2,T1)",Twinned_administrative_body,"Twinned_administrative_body(Aalborg_Kommune,Rendsborg,T2)<-Twinned_administrative_body(Aalborg_Kommune,Lancaster_(Lancs),T0)&inv_Twinned_administrative_body(Lancaster_(Lancs),Rendsborg,T1)"
0.004507,   9,1956,2873,"Twinned_administrative_body(X0,X2,T2)<-inv_Twinned_administrative_body(X0,X1,T0)&Twinned_administrative_body(X1,X2,T1)",Twinned_administrative_body,"Twinned_administrative_body(Rendsborg,Lancaster_(Lancs),T2)<-inv_Twinned_administrative_body(Rendsborg,Aalborg_Kommune,T0)&Twinned_administrative_body(Aalborg_Kommune,Lancaster_(Lancs),T1)"
0.000442,   1,1995,2873,"Twinned_administrative_body(X0,X2,T2)<-Country(X0,X1,T0)&inv_Country(X1,X2,T1)",Twinned_administrative_body,"Twinned_administrative_body(Kiev/Kyiv,Moskva,T2)<-Country(Kiev/Kyiv,Russia_(Empire),T0)&inv_Country(Russia_(Empire),Moskva,T1)"
1.000000,  11,  11,1842,"Employer(X0,X2,T3)<-Member_of(X0,X1,T0)&inv_Member_of(X1,X0,T1)&Employer(X0,X2,T2)",Employer,"Employer(Ivan_Matveevich_Vinogradov,Steklov_Mathematics_Institute,T3)<-Member_of(Ivan_Matveevich_Vinogradov,Serbian_Academy_Of_Sciences_And_Arts,T0)&inv_Member_of(Serbian_Academy_Of_Sciences_And_Arts,Ivan_Matveevich_Vinogradov,T1)&Employer(Ivan_Matveevich_Vinogradov,Steklov_Mathematics_Institute,T2)"
0.930473,1109,1192,1842,"Employer(X0,X1,T1)<-Employer(X0,X1,T0)",Employer,"Employer(Bzhezinsky,Columbia_University_In_The_City_Of_New_York,T1)<-Employer(Bzhezinsky,Columbia_University_In_The_City_Of_New_York,T0)"
0.914286,  28,  31,1842,"Employer(X0,X2,T3)<-Member_of_political_party(X0,X1,T0)&inv_Member_of_political_party(X1,X0,T1)&Employer(X0,X2,T2)",Employer,"Employer(Strekalov,S.P._Korolyov_Rsc_Energia,T3)<-Member_of_political_party(Strekalov,Communist_Party_Of_The_Soviet_Union/Comments,T0)&inv_Member_of_political_party(Communist_Party_Of_The_Soviet_Union/Comments,Strekalov,T1)&Employer(Strekalov,S.P._Korolyov_Rsc_Energia,T2)"
0.769620, 134, 174,1842,"Employer(X0,X2,T3)<-Educated_at(X0,X1,T0)&inv_Educated_at(X1,X0,T1)&Employer(X0,X2,T2)",Employer,"Employer(John_Zizioulas,Gbs-Department_Of_Management,T3)<-Educated_at(John_Zizioulas,National_And_Kapodistrian_University_Of_Athens,T0)&inv_Educated_at(National_And_Kapodistrian_University_Of_Athens,John_Zizioulas,T1)&Employer(John_Zizioulas,Gbs-Department_Of_Management,T2)"
0.720000,  16,  22,1842,"Employer(X0,X2,T3)<-Residence(X0,X1,T0)&inv_Residence(X1,X0,T1)&Employer(X0,X2,T2)",Employer,"Employer(Wolfgang_Reitherman,Buena_Vista_Motion_Pictures_Group,T3)<-Residence(Wolfgang_Reitherman,Califnornia,T0)&inv_Residence(Califnornia,Wolfgang_Reitherman,T1)&Employer(Wolfgang_Reitherman,Buena_Vista_Motion_Pictures_Group,T2)"
0.706110, 805,1140,1842,"Employer(X0,X1,T3)<-Employer(X0,X1,T0)&inv_Employer(X1,X0,T1)&Employer(X0,X1,T2)",Employer,"Employer(Heinrich_Winkler,Albert-Ludwigs-Universität,T3)<-Employer(Heinrich_Winkler,Albert-Ludwigs-Universität,T0)&inv_Employer(Albert-Ludwigs-Universität,Heinrich_Winkler,T1)&Employer(Heinrich_Winkler,Albert-Ludwigs-Universität,T2)"
0.666667,  14,  21,1842,"Employer(X0,X2,T3)<-Position_held(X0,X1,T0)&inv_Position_held(X1,X0,T1)&Employer(X0,X2,T2)",Employer,"Employer(Ernst_Stuckelberg,University_Of_Geneva,T3)<-Position_held(Ernst_Stuckelberg,Chair(Professorship),T0)&inv_Position_held(Chair(Professorship),Ernst_Stuckelberg,T1)&Employer(Ernst_Stuckelberg,University_Of_Geneva,T2)"
